Name,URL,Remote Testing,Adaptive/IRT,Job Level,Completion Time,Languages,Test Types
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Yes Remote Testing,No IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 50,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 28,"English (USA),","Biodata and situational Judgement, Ability and aptitude, Personalities and behavior"
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,Yes Remote Testing,Yes IRT,"Manager,",Approximate Completion Time in minutes = 48,"English (USA),","Personalities and behavior, Simulations, Ability and aptitude, Biodata and situational Judgement"
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 41,"English (USA), English International, French, German, Latin American Spanish, Chinese Simplified, Portuguese (Brazil), Japanese,","Ability and aptitude, Biodata and situational Judgement, Competencies, Personalities and behavior, Simulations"
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 31,"English (USA), German, Portuguese (Brazil), English International, Latin American Spanish, French (Canada), French,","Simulations, Biodata and situational Judgement, Competencies, Personalities and behavior"
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,Yes Remote Testing,Yes IRT,"Manager, Supervisor, Front Line Manager,",Approximate Completion Time in minutes = 50,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 41,"English International, English (USA),","Personalities and behavior, Biodata and situational Judgement, Competencies, Ability and aptitude, Simulations"
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 31,"English International, English (USA),","Simulations, Biodata and situational Judgement, Competencies, Personalities and behavior"
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Yes Remote Testing,Yes IRT,"Front Line Manager, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 45,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 39,"English International,","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 42,"English (USA), English International,","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 42,"English International,","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 44,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,Yes Remote Testing,Yes IRT,"Director,",Approximate Completion Time in minutes = 69,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,Yes Remote Testing,Yes IRT,"Manager,",Approximate Completion Time in minutes = 65,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 18,"French (Canada), Latin American Spanish, English (USA), English International,","Biodata and situational Judgement, Personalities and behavior, Ability and aptitude"
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 18,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 19,"German, Finnish, Portuguese (Brazil), English (USA), Norwegian, Dutch, Arabic, Swedish, French (Canada), Italian, Danish, English International, Chinese Simplified, Latin American Spanish, French,","Competencies, Personalities and behavior"
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 19,"French, Dutch, English (USA), English International, Italian, German,","Competencies, Personalities and behavior"
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 19,"English International,","Competencies, Personalities and behavior"
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 20,"Portuguese (Brazil),","Biodata and situational Judgement, Competencies, Personalities and behavior"
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 20,"English (USA), Spanish, Latin American Spanish, French, German, French (Canada), English International, Chinese Simplified, Portuguese,","Personalities and behavior, Biodata and situational Judgement, Competencies"
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 20,"Swedish, Chinese Simplified, Finnish, English (USA), Portuguese (Brazil), French, Danish, Italian, Arabic, Dutch, French (Canada), Latin American Spanish, English International, Norwegian, German,","Competencies, Personalities and behavior, Biodata and situational Judgement"
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,Yes Remote Testing,Yes IRT,"Supervisor, Front Line Manager, Manager,",Approximate Completion Time in minutes = 50,"English (USA),","Simulations, Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,Yes Remote Testing,Yes IRT,"Executive,",Approximate Completion Time in minutes = 74,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,Yes Remote Testing,No IRT,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 35,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,Yes Remote Testing,No IRT,"Professional Individual Contributor,",Approximate Completion Time in minutes = 44,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 50,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 50,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 55,"English (USA),","Simulations, Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior"
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 19,"English (USA), English International, French (Canada), Latin American Spanish,",Biodata and situational Judgement
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 19,"German, Norwegian, Finnish, French (Canada), Portuguese (Brazil), Latin American Spanish, English (USA), English International, Danish, Swedish, French, Italian,",Biodata and situational Judgement
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 19,"Portuguese (Brazil), French (Canada), English (USA), Latin American Spanish,",Biodata and situational Judgement
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,Yes Remote Testing,No IRT,"General Population, Entry-Level,",Approximate Completion Time in minutes = 24,"English (USA),","Biodata and situational Judgement, Knowledge and Skills"
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,Yes Remote Testing,No IRT,"Graduate,",Approximate Completion Time in minutes = 30 minutes,"Arabic, Latin American Spanish, Portuguese, Polish, Portuguese (Brazil), Romanian, Turkish, English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Norwegian, Danish, Chinese Traditional, Spanish, Japanese,","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,Yes Remote Testing,No IRT,"Graduate,",Approximate Completion Time in minutes = 19,"Chinese Simplified, English (USA), French, German, English International, Italian, Japanese, Latin American Spanish, Polish, Russian, Swedish, Dutch, Portuguese (Brazil),","Biodata and situational Judgement, Competencies"
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,Yes Remote Testing,No IRT,"Graduate,",Approximate Completion Time in minutes = 20 minutes,"English (USA), English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Finnish, Norwegian, Danish, Chinese Traditional, Turkish, Romanian, Japanese, Latin American Spanish, Indonesian, Portuguese (Brazil), Arabic, Polish,","Personalities and behavior, Biodata and situational Judgement"
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 18,"French (Canada), Latin American Spanish, English (USA), English International,",Biodata and situational Judgement
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 48,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 22,"English (USA), French (Canada), Latin American Spanish,",Biodata and situational Judgement
Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 44,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 37,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 30,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 41,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 57,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior"
Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 30,"English (USA),","Biodata and situational Judgement, Personalities and behavior"
Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 20,"French (Canada), English (USA), English International, Latin American Spanish,",Biodata and situational Judgement
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 20,"English (USA), French (Canada), Portuguese (Brazil), Latin American Spanish,",Biodata and situational Judgement
Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 20,"Dutch, Norwegian, German, English International, Portuguese (Brazil), English (USA), French (Canada),",Biodata and situational Judgement
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 49,"Latin American Spanish, English (USA), English International, French (Canada),","Ability and aptitude, Biodata and situational Judgement"
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 24,"English (USA), Portuguese (Brazil), French (Canada),",Biodata and situational Judgement
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 24,"French (Canada), Finnish, English International, French, Danish, Norwegian, Swedish,",Biodata and situational Judgement
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 49,"Portuguese (Brazil), English (USA), French (Canada),","Ability and aptitude, Biodata and situational Judgement"
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 49,"Portuguese (Brazil), Swedish, English International, Dutch, Italian, French, English (USA), French (Canada), Norwegian, German,","Ability and aptitude, Biodata and situational Judgement"
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,Yes Remote Testing,Yes IRT,"Professional Individual Contributor,",Approximate Completion Time in minutes = 49,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,Yes Remote Testing,Yes IRT,"Mid-Professional,",Approximate Completion Time in minutes = 48,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 24,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,Yes Remote Testing,Yes IRT,"Mid-Professional,",Approximate Completion Time in minutes = 46,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,Yes Remote Testing,Yes IRT,"Director, Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 49,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 51,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 57,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior, Simulations"
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager,",Approximate Completion Time in minutes = 53,"English (USA), English International,","Ability and aptitude, Biodata and situational Judgement, Competencies"
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,Yes Remote Testing,Yes IRT,"Director, Executive, Front Line Manager, Manager,",Approximate Completion Time in minutes = 63,"English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada),","Biodata and situational Judgement, Competencies, Personalities and behavior"
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,Yes Remote Testing,Yes IRT,"Director, Executive, Front Line Manager, Manager,",Approximate Completion Time in minutes = 63,"French (Canada), Dutch, Finnish, Norwegian, Swedish, Portuguese (Brazil), Danish, English (USA), Italian,","Biodata and situational Judgement, Competencies, Personalities and behavior"
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,Yes Remote Testing,No IRT,"Manager, Front Line Manager,",Approximate Completion Time in minutes = 35,"French (Canada), Latin American Spanish, English International, English (USA),","Biodata and situational Judgement, Competencies"
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Executive, Director, Front Line Manager, Manager,",Approximate Completion Time in minutes = 40,"Portuguese (Brazil), French (Canada),","Biodata and situational Judgement, Competencies, Personalities and behavior"
Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,Yes Remote Testing,No IRT,"Director, Executive, Front Line Manager, Manager,",Approximate Completion Time in minutes = 40,"English (USA), English International, French, German, Portuguese (Brazil), Danish, Finnish, Italian, Norwegian, Swedish, Dutch, French (Canada),","Biodata and situational Judgement, Competencies, Personalities and behavior"
Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,Yes Remote Testing,No IRT,"Manager,",Approximate Completion Time in minutes = 26,"English (USA), English International,","Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior"
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,Yes Remote Testing,No IRT,"Manager,",Approximate Completion Time in minutes = 44,"English (USA), English International,","Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior"
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 35,"English (USA),","Ability and aptitude, Biodata and situational Judgement"
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 45,"English (USA),","Ability and aptitude, Biodata and situational Judgement"
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,Yes Remote Testing,Yes IRT,"Professional Individual Contributor,",Approximate Completion Time in minutes = 41,"English (USA),","Personalities and behavior, Simulations, Knowledge and Skills, Biodata and situational Judgement, Ability and aptitude"
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 59,"English (USA),","Simulations, Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,Yes Remote Testing,Yes IRT,"Professional Individual Contributor,",Approximate Completion Time in minutes = 66,"English (USA),","Personalities and behavior, Ability and aptitude, Biodata and situational Judgement"
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 41,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,Yes Remote Testing,No IRT,"Entry-Level, Mid-Professional,",Approximate Completion Time in minutes = 30,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior, Simulations"
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,Yes Remote Testing,No IRT,"Entry-Level, Mid-Professional,",Approximate Completion Time in minutes = 40,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 24,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,Yes Remote Testing,Yes IRT,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 51,"English International, English (USA),","Ability and aptitude, Biodata and situational Judgement, Competencies"
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,Yes Remote Testing,Yes IRT,"General Population, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 56,"Latin American Spanish,","Biodata and situational Judgement, Competencies, Personalities and behavior"
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,Yes Remote Testing,Yes IRT,"General Population, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 56,"Chinese Traditional, Dutch, Chinese Simplified, French, English International, Swedish, Italian, Norwegian, Danish, English (USA), French (Canada), Portuguese (Brazil), Spanish, German, Portuguese, Finnish,","Biodata and situational Judgement, Competencies, Personalities and behavior"
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,Yes Remote Testing,No IRT,"Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 33,"English (USA), English International, French (Canada), Latin American Spanish,","Biodata and situational Judgement, Competencies"
Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,Yes Remote Testing,No IRT,"Professional Individual Contributor, Mid-Professional,",Approximate Completion Time in minutes = 33,"English International, Swedish, Italian, Finnish, Dutch, French, English (USA), German, Portuguese (Brazil), Latin American Spanish, French (Canada), Danish, Norwegian,","Competencies, Biodata and situational Judgement"
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,Yes Remote Testing,No IRT,"Professional Individual Contributor,",Approximate Completion Time in minutes = 16,"English International, English (USA),","Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior"
